#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
05D3ax 999 0.643000 999 23.612236 999 0.593746 0.421962 -0.063461 0.063763 999 999 53399.920229 0.295018 999 999 999 999 999 999 999 6.469589e-06 2.756415e-07
sn2004s 999 0.009370 999 14.140802 999 -0.117286 0.082533 0.022304 0.024871 999 999 53040.307666 0.290919 999 999 999 999 999 999 999 3.951456e-02 1.189964e-03
05D4ej 999 0.585000 999 23.713973 999 0.210866 0.173569 -0.019953 0.035348 999 999 53627.790962 0.190357 999 999 999 999 999 999 999 5.883137e-06 1.552564e-07
SDSS20470 999 0.125000 999 19.951274 999 0.657478 0.429323 0.044212 0.029078 999 999 54419.227985 0.370001 999 999 999 999 999 999 999 1.879679e-04 5.532077e-06
Elvis 999 0.839000 999 24.362598 999 -0.081951 0.330944 -0.019730 0.039662 999 999 52782.897204 0.900366 999 999 999 999 999 999 999 3.244350e-06 7.242634e-08
SDSS20245 999 0.302000 999 21.669296 999 -0.592423 0.904252 0.045778 0.054641 999 999 54411.891124 0.589518 999 999 999 999 999 999 999 3.860934e-05 2.244054e-06
sn1999gp 999 0.026745 999 16.015558 999 1.780031 0.121224 -0.005920 0.035197 999 999 51550.787142 0.126607 999 999 999 999 999 999 999 7.008183e-03 1.881734e-04
SDSS8495 999 0.214400 999 20.818366 999 0.752166 0.463394 -0.023089 0.041462 999 999 53689.900333 0.345174 999 999 999 999 999 999 999 8.455068e-05 4.236804e-06
sn1993o 999 0.051000 999 17.611990 999 -0.706036 0.091593 -0.081418 0.044510 999 999 49134.235562 0.116602 999 999 999 999 999 999 999 1.608173e-03 4.923751e-05
sn2007qe 999 0.024000 999 16.049637 999 0.760378 0.045647 0.052277 0.026197 999 999 54429.852078 0.037482 999 999 999 999 999 999 999 6.788739e-03 1.802981e-04
SDSS722 999 0.086520 999 18.714896 999 -0.471123 0.186310 -0.086992 0.034734 999 999 53610.851754 0.626444 999 999 999 999 999 999 999 5.868717e-04 3.696105e-05
04D3ks 999 0.750000 999 23.794876 999 0.610280 0.307171 -0.030877 0.063005 999 999 53163.223463 0.349911 999 999 999 999 999 999 999 5.434874e-06 2.089430e-07
05D1er 999 0.860000 999 24.581794 999 0.481799 0.436843 0.085341 0.071196 999 999 53667.242317 0.583195 999 999 999 999 999 999 999 2.600077e-06 1.195255e-07
SDSS16281 999 0.184000 999 20.471752 999 -0.873317 0.511114 -0.073173 0.032310 999 999 54055.402957 0.345389 999 999 999 999 999 999 999 1.163400e-04 3.853194e-06
04D4in 999 0.516000 999 22.884057 999 1.535667 0.146871 -0.070345 0.028786 999 999 53278.572831 0.143811 999 999 999 999 999 999 999 1.264816e-05 3.088330e-07
SDSS17784 999 0.037070 999 17.320673 999 -0.728494 0.077428 0.060480 0.022270 999 999 54367.037232 0.074752 999 999 999 999 999 999 999 2.121773e-03 5.460901e-05
sn2006qo 999 0.029704 999 16.814762 999 0.466866 0.060423 0.165837 0.027177 999 999 54083.095738 0.067146 999 999 999 999 999 999 999 3.345259e-03 9.213758e-05
SDSS1580 999 0.184000 999 20.270929 999 0.880393 0.228690 -0.038296 0.027087 999 999 53634.026532 0.205099 999 999 999 999 999 999 999 1.401208e-04 4.572751e-06
sn2001az 999 0.040695 999 16.922920 999 1.201596 0.445679 -0.061049 0.024080 999 999 52031.087139 0.913946 999 999 999 999 999 999 999 3.029685e-03 1.086260e-04
SDSS15234 999 0.136300 999 20.459137 999 0.900292 0.203889 0.127757 0.027494 999 999 54032.802122 0.198382 999 999 999 999 999 999 999 1.174505e-04 3.530341e-06
sn2007bd 999 0.031018 999 16.559531 999 -1.381121 0.064417 -0.048077 0.026731 999 999 54206.543434 0.056301 999 999 999 999 999 999 999 4.249797e-03 1.114809e-04
sn2007ci 999 0.018126 999 15.875751 999 -2.724019 0.099486 0.026862 0.028329 999 999 54246.654276 0.064114 999 999 999 999 999 999 999 7.983443e-03 2.256817e-04
sn1998v 999 0.017572 999 15.104486 999 -0.177627 0.117380 0.000005 0.025204 999 999 50892.081870 0.292018 999 999 999 999 999 999 999 1.623146e-02 4.477592e-04
05D2ct 999 0.734000 999 24.371746 999 0.358047 0.466822 0.093492 0.068348 999 999 53425.178303 0.462300 999 999 999 999 999 999 999 3.198238e-06 1.621130e-07
06D4bo 999 0.552000 999 23.222121 999 0.763386 0.176628 -0.039783 0.029889 999 999 53918.737016 0.276509 999 999 999 999 999 999 999 9.260559e-06 2.193290e-07
SDSS14279 999 0.045390 999 17.545871 999 -0.162455 0.047436 0.090516 0.023035 999 999 54022.045630 0.060999 999 999 999 999 999 999 999 1.721367e-03 4.123516e-05
SDSS10805 999 0.045420 999 17.531304 999 -0.952735 0.402860 0.056676 0.024891 999 999 53698.687665 0.125503 999 999 999 999 999 999 999 1.744926e-03 4.923023e-05
SDSS18835 999 0.123190 999 19.506910 999 0.757715 0.109313 -0.013283 0.021899 999 999 54392.387245 0.117035 999 999 999 999 999 999 999 2.832095e-04 7.035220e-06
SDSS3592 999 0.086420 999 18.763282 999 -0.145333 0.070606 -0.043101 0.020379 999 999 53645.058829 0.061598 999 999 999 999 999 999 999 5.613904e-04 1.354816e-05
sn1992p 999 0.025401 999 16.047849 999 0.743735 0.394384 -0.093531 0.043331 999 999 48718.558225 0.558846 999 999 999 999 999 999 999 6.834855e-03 2.236440e-04
SDSS14331 999 0.214000 999 21.244763 999 0.142183 0.294121 0.014489 0.039140 999 999 54013.471936 0.302422 999 999 999 999 999 999 999 5.707600e-05 2.231978e-06
SDSS18787 999 0.193000 999 21.199892 999 0.145953 0.431161 0.035639 0.031868 999 999 54387.249498 0.448845 999 999 999 999 999 999 999 5.948960e-05 2.009015e-06
05D2ay 999 0.920000 999 24.611448 999 -0.482456 0.596966 0.039719 0.090626 999 999 53375.260780 0.871352 999 999 999 999 999 999 999 2.526583e-06 1.597954e-07
SDSS18650 999 0.114000 999 19.403364 999 0.884947 0.116174 -0.043407 0.021926 999 999 54387.865300 0.128478 999 999 999 999 999 999 999 3.112102e-04 7.887392e-06
SDSS15287 999 0.274000 999 21.160614 999 1.425761 0.314386 -0.072842 0.034773 999 999 54030.381873 0.329041 999 999 999 999 999 999 999 6.174243e-05 1.925653e-06
05D3jh 999 0.718000 999 23.714259 999 -0.624297 0.181817 -0.138135 0.049493 999 999 53492.654500 0.366240 999 999 999 999 999 999 999 5.866769e-06 1.740185e-07
