#name mBc dmBc mB dmB x0 dx0 x1 dx1 c dc tmax dtmax z
SDSS1580 20.272733 0.114206 20.2730998707 0.0352481856593 0.000140155779715 4.5712676559e-06 0.879571587351 0.228368079392 -0.0384869842705 0.0270665927226 53634.0261933 0.205025668241 0.184
SDSS15868 21.005963 0.116005 21.007095108 0.0399645745729 7.12896285922e-05 2.6213840188e-06 0.328735136847 0.264211282017 -0.140847235633 0.0370025245082 54044.2539094 0.220235342844 0.242
SDSS15872 20.556408 0.117009 20.5572360634 0.0432986012597 0.000107895046671 4.31976956185e-06 0.781434315714 0.308150665562 -0.0641307839804 0.0358528289957 54047.7693251 0.205691096762 0.203
SDSS15897 20.889914 0.116161 20.8911951039 0.0412526983231 7.92818749717e-05 3.04044126091e-06 -2.45745603511 0.260673813277 0.0157912658066 0.0366474674534 54041.5236356 0.222583761781 0.17
SDSS15901 20.774797 0.114551 20.7757610784 0.0361834659889 8.82160254666e-05 2.95441783544e-06 0.0301997246207 0.255742606604 -0.0406225240954 0.0297623183975 54045.4582479 0.203832856987 0.199
SDSS16021 19.61767 0.112478 19.6188374973 0.02938656233 0.000256041976264 6.96587857528e-06 -0.34697988205 0.126820034891 -0.0382040358256 0.023744655113 54049.119852 0.113525510169 0.124
SDSS16032 20.758955 0.114994 20.7595196067 0.0374999850446 8.95570412049e-05 3.09615790107e-06 -0.819482322829 0.239930728619 -0.108569984803 0.0336628942855 54046.4046927 0.178185053239 0.204
SDSS16069 20.104432 0.113191 20.1058498837 0.0320374792335 0.000163042886245 4.90456599626e-06 0.878534976816 0.217332640863 0.156630218387 0.0266376164988 54050.7566696 0.185417303415 0.12877
SDSS16072 21.533317 0.127184 21.5355884533 0.0653192164634 4.38081357854e-05 2.6547857139e-06 0.275684200609 0.624905247181 -0.0162579635923 0.0536936575944 54046.8504175 0.4900023099 0.277
SDSS16073 20.257201 0.112388 20.2584681005 0.0291108151659 0.000142028043482 3.83581275266e-06 0.723179216089 0.185302955325 -0.00689240334075 0.0241961815216 54051.4345694 0.157007973336 0.146
SDSS16093 21.862025 0.132618 21.8646063938 0.074664902984 3.23631748079e-05 2.23509729476e-06 1.02920704374 0.735059106267 -0.0636368758973 0.0559951541614 54045.0233457 0.638370560751 0.336
