#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 SDSS7779 999 0.381200 999 21.922235 -0.002108 1.321059 0.633697 -0.102434 0.042796 999 999 53675.694681 0.598515 999 999 999 999 999 999 999
 SDSS15383 999 0.312000 999 21.860351 -0.001854 0.212554 0.745627 -0.033866 0.050864 999 999 54030.555247 0.721417 999 999 999 999 999 999 999
 05D1ke 999 0.690000 999 23.597130 -0.001728 0.225528 0.256302 -0.106105 0.049345 999 999 53731.341144 0.344571 999 999 999 999 999 999 999
 sn2004gu 999 0.045900 999 17.424128 0.001984 1.333962 0.058312 0.078401 0.019539 999 999 53362.564932 0.116694 999 999 999 999 999 999 999
 05D3hs 999 0.664000 999 23.506117 0.000832 0.553969 0.268530 -0.167693 0.058729 999 999 53490.908750 0.337302 999 999 999 999 999 999 999
 05D2bt 999 0.680000 999 23.494504 0.002509 0.506123 0.257299 -0.152541 0.048322 999 999 53401.498699 0.245683 999 999 999 999 999 999 999
 SDSS19128 999 0.287000 999 21.593755 -0.002651 1.349095 0.599618 -0.064859 0.043818 999 999 54387.049820 0.636857 999 999 999 999 999 999 999
 SDSS15287 999 0.274000 999 21.160601 -0.002422 1.425774 0.314202 -0.072841 0.034781 999 999 54030.381903 0.328804 999 999 999 999 999 999 999
 SDSS3087 999 0.165600 999 20.257495 -0.002237 0.522599 0.189730 0.005964 0.025152 999 999 53648.887000 0.139571 999 999 999 999 999 999 999
 05D3dd 999 0.480000 999 22.951200 0.000833 -0.213517 0.141416 -0.033755 0.034664 999 999 53455.296510 0.110898 999 999 999 999 999 999 999
 SDSS12853 999 0.169400 999 20.172096 -0.002285 -0.577468 0.345204 -0.061592 0.032000 999 999 53979.292235 0.325184 999 999 999 999 999 999 999
 SDSS13099 999 0.266030 999 21.534770 -0.002609 0.355962 0.789537 -0.021649 0.046596 999 999 53995.209912 1.396127 999 999 999 999 999 999 999
 SDSS15433 999 0.221100 999 20.942457 -0.002384 -0.087187 0.260404 -0.067659 0.035697 999 999 54037.383013 0.249794 999 999 999 999 999 999 999
 SDSS14261 999 0.281000 999 21.349619 -0.002510 0.697418 0.462029 -0.030010 0.042790 999 999 54018.808520 0.367015 999 999 999 999 999 999 999
 SDSS16619 999 0.115100 999 19.170766 -0.002104 -0.180856 0.592358 -0.085470 0.027141 999 999 54069.593774 0.679081 999 999 999 999 999 999 999
 06D4cl 999 1.000000 999 24.470417 -0.002362 1.171015 0.383378 -0.087939 0.052567 999 999 53938.068334 0.591356 999 999 999 999 999 999 999
 SDSS15456 999 0.382100 999 21.980150 -0.002562 -1.213190 0.783665 -0.090495 0.061070 999 999 54030.297724 0.752929 999 999 999 999 999 999 999
 SDSS19632 999 0.308000 999 21.831217 -0.001628 0.148977 0.524646 -0.044706 0.052478 999 999 54396.710232 0.447553 999 999 999 999 999 999 999
 04D3kr 999 0.337000 999 21.965396 0.000867 1.232658 0.085896 -0.018671 0.022743 999 999 53166.004775 0.119636 999 999 999 999 999 999 999
 05D3kt 999 0.648000 999 23.971623 0.000843 -0.433703 0.235521 0.062993 0.070485 999 999 53530.947708 0.276037 999 999 999 999 999 999 999
 05D1if 999 0.763000 999 24.023542 -0.001750 0.165647 0.423589 -0.055870 0.052073 999 999 53715.504835 0.216313 999 999 999 999 999 999 999
 SDSS6558 999 0.057420 999 17.715349 -0.002219 1.053706 0.089982 -0.029583 0.023650 999 999 53675.029777 0.091425 999 999 999 999 999 999 999
 SDSS18740 999 0.157000 999 20.171619 -0.002347 -0.034559 0.125850 0.024799 0.022340 999 999 54391.806024 0.107516 999 999 999 999 999 999 999
 SDSS16211 999 0.310940 999 22.130835 -0.002668 -1.964261 0.671853 0.004668 0.072510 999 999 54041.485740 0.576786 999 999 999 999 999 999 999
 SDSS14279 999 0.045390 999 17.545856 -0.002307 -0.162455 0.047435 0.090516 0.023035 999 999 54022.045630 0.060997 999 999 999 999 999 999 999
 SDSS1112 999 0.257640 999 21.537025 -0.002643 -0.624489 0.675391 -0.026802 0.051927 999 999 53630.085016 0.676667 999 999 999 999 999 999 999
 04D4id 999 0.769000 999 24.181082 -0.002364 0.688323 0.557748 -0.175128 0.066776 999 999 53261.709231 0.773877 999 999 999 999 999 999 999
 SDSS12898 999 0.081000 999 19.018298 -0.002070 -0.068596 0.084676 0.070221 0.021202 999 999 54002.481217 0.080088 999 999 999 999 999 999 999
 05D3kx 999 0.219000 999 20.849950 0.000823 0.698594 0.063041 -0.039916 0.024030 999 999 53534.170465 0.068436 999 999 999 999 999 999 999
 SDSS16106 999 0.251200 999 21.019970 -0.002553 -0.628930 0.364318 -0.150144 0.047578 999 999 54045.424722 0.303236 999 999 999 999 999 999 999
 SDSS19008 999 0.219000 999 21.083796 -0.002549 1.082021 0.407996 0.085623 0.042484 999 999 54392.649685 0.349161 999 999 999 999 999 999 999
 06D3ed 999 0.404000 999 22.605009 0.000849 -0.391802 0.081163 -0.067687 0.022697 999 999 53876.184689 0.137622 999 999 999 999 999 999 999
 SDSS12971 999 0.235240 999 20.792245 -0.002533 1.185435 0.580329 -0.091335 0.036042 999 999 53976.635770 1.176099 999 999 999 999 999 999 999
 SDSS12881 999 0.233000 999 21.097975 -0.002467 0.774577 0.545347 0.034981 0.040804 999 999 53980.297008 0.574779 999 999 999 999 999 999 999
 SDSS18298 999 0.119820 999 20.538217 -0.002309 -2.735932 0.290348 0.254631 0.048079 999 999 54374.330926 0.212611 999 999 999 999 999 999 999
 SDSS19341 999 0.228000 999 21.437079 -0.002353 -1.550624 0.368997 0.033088 0.043363 999 999 54393.202678 0.314802 999 999 999 999 999 999 999
 SDSS14284 999 0.181070 999 20.226850 -0.001287 -0.307718 0.169433 -0.068426 0.025594 999 999 54014.576709 0.158658 999 999 999 999 999 999 999
 SDSS13411 999 0.163000 999 20.326091 -0.002242 1.787229 0.394651 0.019799 0.035986 999 999 53987.459846 0.309421 999 999 999 999 999 999 999
 SDSS13934 999 0.330000 999 22.190297 -0.002647 -0.705609 0.819111 -0.100231 0.069480 999 999 54007.420880 0.946786 999 999 999 999 999 999 999
 SDSS15868 999 0.242000 999 21.004838 -0.001714 0.329375 0.264262 -0.140760 0.037003 999 999 54044.254428 0.220166 999 999 999 999 999 999 999
 SDSS15354 999 0.222100 999 21.519681 -0.002525 -2.266910 0.354741 0.085479 0.048511 999 999 54024.628943 0.494111 999 999 999 999 999 999 999
 SDSS15872 999 0.203000 999 20.554586 -0.001752 0.781390 0.317349 -0.064106 0.037583 999 999 54047.769298 0.206320 999 999 999 999 999 999 999
 SDSS19027 999 0.295000 999 21.355232 -0.002517 0.472853 0.540544 -0.006753 0.045454 999 999 54386.550345 0.625714 999 999 999 999 999 999 999
 SDSS21669 999 0.124070 999 19.546252 -0.002435 -1.324377 0.635904 -0.079535 0.030260 999 999 54429.909319 0.958840 999 999 999 999 999 999 999
 05D4bi 999 0.775000 999 24.031689 -0.002349 0.998577 0.479609 -0.136467 0.065808 999 999 53560.317285 0.545165 999 999 999 999 999 999 999
 SDSS17784 999 0.037070 999 17.320659 -0.001152 -0.728491 0.077425 0.060480 0.022270 999 999 54367.037233 0.074749 999 999 999 999 999 999 999
